# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-06-29,WP952026,17.0,2026-06-29 18:00:00,0 days 18:00:00,9.51,171.31,1008.8,16.9,81.97308846277512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,17.0,2026-06-30 00:00:00,1 days 00:00:00,10.22,170.5,1004.2,25.2,129.14850984110507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,18.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,19.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,20.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,20.0,2026-06-29 06:00:00,0 days 06:00:00,9.43,172.08,1007.3,19.0,92.41650392050474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,21.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,22.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,23.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,24.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,25.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,26.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,27.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,28.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,29.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,30.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,30.0,2026-06-29 06:00:00,0 days 06:00:00,9.97,165.93,1007.3,19.2,95.74462568838204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,31.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
